#Table: J/A+A/291/943/table1.dat (http://cdsarc.cds.unistra.fr)
#-----------------------------------------------------------------
# n(H)|  Lambda0|   Kappa0|  Lambda1|   Kappa1|  Lambda2|   Kappa2
#-----|---------|---------|---------|---------|---------|---------
1.E+6|1.080E+01|1.990E+03|1.080E+01|5.101E+03|1.080E+01|2.478E+03
1.E+6|1.122E+01|1.788E+03|1.122E+01|7.062E+03|1.122E+01|2.555E+03
1.E+6|1.166E+01|1.539E+03|1.166E+01|8.523E+03|1.166E+01|2.506E+03
1.E+6|1.259E+01|9.951E+02|1.259E+01|8.866E+03|1.259E+01|1.964E+03
1.E+6|1.359E+01|8.184E+02|1.359E+01|7.574E+03|1.359E+01|1.602E+03
1.E+6|1.468E+01|7.557E+02|1.468E+01|5.813E+03|1.468E+01|1.347E+03
1.E+6|1.585E+01|8.680E+02|1.585E+01|4.628E+03|1.585E+01|1.327E+03
1.E+6|1.711E+01|1.130E+03|1.711E+01|4.059E+03|1.711E+01|1.513E+03
1.E+6|1.848E+01|1.216E+03|1.848E+01|3.698E+03|1.848E+01|1.584E+03
1.E+6|1.995E+01|1.017E+03|1.995E+01|2.996E+03|1.995E+01|1.343E+03
1.E+6|2.155E+01|8.343E+02|2.155E+01|2.271E+03|2.155E+01|1.098E+03
1.E+6|2.512E+01|6.051E+02|2.512E+01|1.248E+03|2.512E+01|7.679E+02
1.E+6|2.929E+01|4.560E+02|2.929E+01|5.840E+02|2.929E+01|5.453E+02
1.E+6|3.415E+01|3.454E+02|3.415E+01|8.356E+02|3.415E+01|4.513E+02
1.E+6|3.687E+01|3.011E+02|3.687E+01|1.084E+03|3.687E+01|4.339E+02
1.E+6|3.981E+01|2.631E+02|3.981E+01|1.362E+03|3.981E+01|4.269E+02
1.E+6|4.299E+01|2.295E+02|4.299E+01|1.633E+03|4.299E+01|4.215E+02
1.E+6|4.642E+01|1.980E+02|4.642E+01|1.653E+03|4.642E+01|3.869E+02
1.E+6|5.412E+01|1.449E+02|5.412E+01|1.191E+03|5.412E+01|2.796E+02
1.E+6|6.310E+01|1.157E+02|6.310E+01|8.207E+02|6.310E+01|2.112E+02
1.E+6|7.357E+01|9.188E+01|7.357E+01|5.409E+02|7.357E+01|1.580E+02
1.E+6|8.577E+01|7.317E+01|8.577E+01|3.396E+02|8.577E+01|1.182E+02
1.E+6|1.000E+02|5.924E+01|1.000E+02|1.715E+02|1.000E+02|8.647E+01
1.E+6|1.166E+02|4.821E+01|1.166E+02|1.134E+02|1.166E+02|6.753E+01
1.E+6|1.359E+02|3.882E+01|1.359E+02|7.915E+01|1.359E+02|5.251E+01
1.E+6|1.585E+02|3.162E+01|1.585E+02|5.572E+01|1.585E+02|4.086E+01
1.E+6|1.848E+02|2.528E+01|1.848E+02|3.842E+01|1.848E+02|3.066E+01
1.E+6|2.260E+02|1.946E+01|2.260E+02|2.509E+01|2.260E+02|2.169E+01
1.E+6|3.500E+02|1.128E+01|3.500E+02|1.122E+01|3.500E+02|1.008E+01
1.E+6|5.000E+02|7.614E+00|5.000E+02|5.502E+00|5.000E+02|5.043E+00
1.E+6|7.000E+02|4.563E+00|7.000E+02|2.815E+00|7.000E+02|2.573E+00
1.E+6|1.000E+03|2.742E+00|1.000E+03|1.481E+00|1.000E+03|1.367E+00
1.E+6|1.300E+03|1.993E+00|1.300E+03|9.621E-01|1.300E+03|8.992E-01
1.E+7|1.000E+00|1.067E+04|1.000E+00|9.959E+03|1.000E+00|1.124E+04
1.E+7|1.166E+00|1.029E+04|1.166E+00|8.613E+03|1.166E+00|1.029E+04
1.E+7|1.359E+00|9.761E+03|1.359E+00|7.506E+03|1.359E+00|9.301E+03
1.E+7|1.585E+00|8.763E+03|1.585E+00|6.431E+03|1.585E+00|8.038E+03
1.E+7|1.848E+00|7.512E+03|1.848E+00|5.548E+03|1.848E+00|6.759E+03
1.E+7|2.154E+00|6.072E+03|2.154E+00|4.752E+03|2.154E+00|5.506E+03
1.E+7|2.512E+00|4.621E+03|2.512E+00|3.986E+03|2.512E+00|4.300E+03
1.E+7|2.712E+00|4.012E+03|2.712E+00|3.614E+03|2.712E+00|3.735E+03
1.E+7|2.818E+00|3.735E+03|2.818E+00|7.180E+03|2.818E+00|3.925E+03
1.E+7|2.929E+00|3.478E+03|2.929E+00|2.634E+04|2.929E+00|7.223E+03
1.E+7|3.043E+00|3.241E+03|3.043E+00|2.925E+04|3.043E+00|7.116E+03
1.E+7|3.162E+00|3.022E+03|3.162E+00|1.810E+04|3.162E+00|5.124E+03
1.E+7|3.286E+00|2.810E+03|3.286E+00|6.281E+03|3.286E+00|3.440E+03
1.E+7|3.414E+00|2.606E+03|3.414E+00|3.771E+03|3.414E+00|2.937E+03
1.E+7|3.548E+00|2.408E+03|3.548E+00|3.139E+03|3.548E+00|2.676E+03
1.E+7|3.687E+00|2.267E+03|3.687E+00|2.285E+03|3.687E+00|2.443E+03
1.E+7|3.831E+00|2.139E+03|3.831E+00|2.229E+03|3.831E+00|2.319E+03
1.E+7|3.981E+00|2.021E+03|3.981E+00|2.100E+03|3.981E+00|2.198E+03
1.E+7|4.299E+00|1.795E+03|4.299E+00|2.131E+03|4.299E+00|1.995E+03
1.E+7|4.642E+00|1.600E+03|4.642E+00|2.267E+03|4.642E+00|1.833E+03
1.E+7|5.012E+00|1.431E+03|5.012E+00|1.546E+03|5.012E+00|1.592E+03
1.E+7|5.412E+00|1.288E+03|5.412E+00|1.397E+03|5.412E+00|1.434E+03
1.E+7|5.843E+00|1.191E+03|5.843E+00|2.932E+03|5.843E+00|1.513E+03
1.E+7|6.310E+00|1.137E+03|6.310E+00|2.649E+03|6.310E+00|1.443E+03
1.E+7|6.813E+00|1.087E+03|6.813E+00|2.452E+03|6.813E+00|1.371E+03
1.E+7|7.356E+00|1.039E+03|7.356E+00|1.599E+03|7.356E+00|1.227E+03
1.E+7|7.943E+00|1.008E+03|7.943E+00|1.245E+03|7.943E+00|1.148E+03
1.E+7|8.577E+00|1.086E+03|8.577E+00|1.141E+03|8.577E+00|1.184E+03
1.E+7|8.912E+00|1.404E+03|8.912E+00|1.789E+03|8.912E+00|1.527E+03
1.E+7|9.261E+00|1.763E+03|9.261E+00|1.739E+03|9.261E+00|1.822E+03
1.E+7|9.623E+00|2.211E+03|9.623E+00|2.806E+03|9.623E+00|2.309E+03
1.E+7|9.810E+00|2.416E+03|9.810E+00|5.468E+03|9.810E+00|2.824E+03
1.E+7|1.000E+01|2.605E+03|1.000E+01|3.197E+03|1.000E+01|2.729E+03
1.E+7|1.039E+01|2.560E+03|1.039E+01|3.511E+03|1.039E+01|2.669E+03
1.E+7|1.080E+01|2.315E+03|1.080E+01|5.072E+03|1.080E+01|2.644E+03
1.E+7|1.122E+01|2.117E+03|1.122E+01|6.943E+03|1.122E+01|2.755E+03
1.E+7|1.166E+01|1.869E+03|1.166E+01|8.345E+03|1.166E+01|2.746E+03
1.E+7|1.259E+01|1.213E+03|1.259E+01|8.771E+03|1.259E+01|2.193E+03
1.E+7|1.359E+01|9.766E+02|1.359E+01|7.641E+03|1.359E+01|1.790E+03
1.E+7|1.468E+01|8.899E+02|1.468E+01|5.968E+03|1.468E+01|1.503E+03
1.E+7|1.585E+01|9.982E+02|1.585E+01|4.786E+03|1.585E+01|1.464E+03
1.E+7|1.711E+01|1.289E+03|1.711E+01|4.210E+03|1.711E+01|1.659E+03
1.E+7|1.848E+01|1.426E+03|1.848E+01|3.845E+03|1.848E+01|1.757E+03
1.E+7|1.995E+01|1.248E+03|1.995E+01|3.125E+03|1.995E+01|1.522E+03
1.E+7|2.155E+01|1.049E+03|2.155E+01|2.373E+03|2.155E+01|1.258E+03
1.E+7|2.512E+01|7.820E+02|2.512E+01|1.300E+03|2.512E+01|8.876E+02
1.E+7|2.929E+01|5.977E+02|2.929E+01|6.043E+02|2.929E+01|6.279E+02
1.E+7|3.415E+01|4.600E+02|3.415E+01|8.567E+02|3.415E+01|5.177E+02
1.E+7|3.687E+01|4.032E+02|3.687E+01|1.107E+03|3.687E+01|4.988E+02
1.E+7|3.981E+01|3.526E+02|3.981E+01|1.389E+03|3.981E+01|4.929E+02
1.E+7|4.299E+01|3.075E+02|4.299E+01|1.665E+03|4.299E+01|4.902E+02
1.E+7|4.642E+01|2.656E+02|4.642E+01|1.692E+03|4.642E+01|4.547E+02
1.E+7|5.412E+01|1.951E+02|5.412E+01|1.228E+03|5.412E+01|3.327E+02
1.E+7|6.310E+01|1.564E+02|6.310E+01|8.480E+02|6.310E+01|2.520E+02
1.E+7|7.357E+01|1.251E+02|7.357E+01|5.592E+02|7.357E+01|1.888E+02
1.E+7|8.577E+01|1.006E+02|8.577E+01|3.508E+02|8.577E+01|1.409E+02
1.E+7|1.000E+02|8.257E+01|1.000E+02|1.767E+02|1.000E+02|1.026E+02
1.E+7|1.166E+02|6.852E+01|1.166E+02|1.165E+02|1.166E+02|7.992E+01
1.E+7|1.359E+02|5.656E+01|1.359E+02|8.119E+01|1.359E+02|6.207E+01
1.E+7|1.585E+02|4.752E+01|1.585E+02|5.709E+01|1.585E+02|4.828E+01
1.E+7|1.848E+02|3.943E+01|1.848E+02|3.933E+01|1.848E+02|3.619E+01
1.E+7|2.260E+02|3.169E+01|2.260E+02|2.566E+01|2.260E+02|2.554E+01
1.E+7|3.500E+02|2.017E+01|3.500E+02|1.146E+01|3.500E+02|1.182E+01
1.E+7|5.000E+02|1.488E+01|5.000E+02|5.623E+00|5.000E+02|5.900E+00
1.E+7|7.000E+02|9.277E+00|7.000E+02|2.876E+00|7.000E+02|3.011E+00
1.E+7|1.000E+03|5.733E+00|1.000E+03|1.513E+00|1.000E+03|1.599E+00
1.E+7|1.300E+03|4.250E+00|1.300E+03|9.825E-01|1.300E+03|1.052E+00
1.E+8|1.000E+00|7.877E+03|1.000E+00|9.386E+03|1.000E+00|8.542E+03
1.E+8|1.166E+00|7.381E+03|1.166E+00|8.159E+03|1.166E+00|7.677E+03
1.E+8|1.359E+00|6.962E+03|1.359E+00|7.163E+03|1.359E+00|6.930E+03
1.E+8|1.585E+00|6.379E+03|1.585E+00|6.179E+03|1.585E+00|6.119E+03
